1880	444	3	18.68
7	5579	4	7.14
279	186	6	7.55
2143	133	4	8.1
361	535	4	13.76
2227	114	9	31.42
710	265	3	8.31
1635	265	3	13.51
120	1032	11	18.39
507	3190	3	22.96
119	5212	3	7.84
242	249	7	13.08
123	1689	7	14.16
117	2056	6	9.35
612	459	3	11.75
109	289	38	18.06
822	104	16	7.22
2796	101	8	7.54
9	477	10	7.03
618	111	16	8.91
4426	110	4	8.38
143	834	10	28.17
1252	162	3	6.66
2904	108	6	9.19
183	189	15	26.86
111	815	13	10.08
1624	155	3	7.01
317	190	9	18.53
631	172	6	15.64
16	3445	5	23.38
140	180	22	13.33
693	586	3	13.45
811	165	4	8.01
311	550	4	12.62
317	129	17	14.59
631	120	11	9.77
206	12	118	10.5
2801	103	7	9.67
595	5	21	92.4
178	137	20	7.47
129	1090	7	11.87
124	365	14	6.78
1804	239	3	13.05
466	928	3	13.97
5761	137	3	13.37
1115	102	16	11.26
1518	103	11	9.34
128	174	27	6.77
3580	112	4	8.33
123	3420	4	8.68
177	983	4	11.73
247	5252	3	23.36
128	277	21	20.38
262	1099	5	23.56
115	7608	3	10.91
1544	2556	3	28.21
106	2050	8	10.52
125	3247	4	10.79
240	629	5	16.55
276	340	4	7.8
1066	102	15	7.02
286	129	33	63.12
2	113	237	28.01
2942	832	5	49.56
670	103	23	16.85
322	105	33	7.24
958	151	5	11.18
626	5	17	68.69
307	271	4	6.81
108	6575	3	8.54
9	3997	3	8.57
3180	1412	3	32.93
521	257	3	6.89
192	336	6	11.46
165	102	133	16.56
102	115	711	10.24
1734	122	7	14.12
127	147	57	19.8
4239	103	5	10.61
139	1858	4	9.39
1289	196	3	8.79
556	103	26	15.31
521	5	15	50.13
504	511	3	10.81
2021	106	8	10.52
1490	101	15	8.62
1036	119	16	40.34
106	3335	6	11.07
1155	126	6	8.5
110	1864	7	11.76
16	890	6	8.65
7	4226	5	8.93
106	3183	6	11.07
146	287	13	14.83
280	242	7	15.26
104	144	163	8.96
117	782	16	25.43
186	106	69	12.44
1924	7	10	9.16
4820	566	3	28.87
131	569	10	11.59
353	123	21	17.31
117	834	18	37.34
9	1127	6	8.47
1412	3180	3	32.93
104	6469	3	6.76
735	291	3	9.2
232	461	5	12.9
1872	121	5	7.19
212	538	6	17.03
1003	101	20	6.92
161	2272	3	10.23
4758	111	4	8.06
257	110	37	14.96
323	498	3	7.45
117	3074	6	22.91
1720	108	9	11.8
825	4190	4	42.94
113	373	23	13.87
145	354	9	9.19
167	227	10	9.41
194	1229	3	8.37
3388	111	6	13.63
230	1206	3	10.14
107	101	1715	49.01
5071	106	4	10.8
4460	104	5	11.26
130	2900	4	10.67
159	1307	3	6.72
439	225	4	7.14
112	3580	4	8.33
676	289	3	8.67
732	335	3	9.84
208	290	6	9.07
152	631	6	11.32
104	645	22	11.38
120	1356	7	9.69
335	2456	3	17.95
111	1509	8	7.73
3130	134	3	7.89
131	963	7	10.86
431	8	14	13.46
2843	137	3	7.71
137	3518	3	9.77
881	187	3	7.15
109	1954	7	7.14
395	196	5	8.03
541	203	8	26.14
124	5601	4	18.44
185	397	6	10.79
978	327	5	25.3
559	316	4	13.57
132	3000	3	7.26
146	674	9	20.71
185	455	7	16.79
7	4856	4	7.14
101	329	63	11.14
130	109	269	91.99
163	1565	3	7.67
642	102	29	22.5
454	833	3	13.61
115	5372	3	6.77
101	125	584	19.71
122	763	9	7.73
292	567	8	36.77
7519	109	3	8.95
516	12	38	8.07
5	1754	4	11.71
4618	109	4	7.44
1050	5	7	22.54
248	165	14	24.19
105	2322	7	7.2
117	1546	7	8.56
117	7661	3	11.45
852	187	10	48
111	103	889	77.43
569	203	5	12.34
6958	125	3	14.86
111	304	29	7.92
233	1055	3	9.31
227	2899	3	15.4
171	1297	3	7.24
1502	322	3	14.14
108	5640	4	11.39
340	1042	4	18.86
3818	132	3	8.36
14	109	2219	65
1981	3430	4	50.59
12	2642	8	7.24
831	8	9	14.09
5	940	4	6.88
554	113	16	12.18
3980	5	4	22.21
116	1754	9	18.7
4742	192	3	20.91
106	5106	4	10.8
262	4102	3	21.03
3521	113	5	18.44
2	5203	3	13.25
125	269	20	14.32
101	1464	15	8.62
210	1058	3	8.49
163	284	7	7.05
249	1080	3	10.25
1291	320	3	12.95
140	2589	3	7.6
112	1085	10	8.07
2	3181	4	8.81
158	695	16	69.5
746	242	3	7.84
227	235	8	13.25
476	324	3	7.18
133	1700	5	9.94
316	533	3	7.95
227	154	15	17.3
694	169	4	6.88
147	158	22	9.57
512	106	31	36.49
1034	101	20	9.37
227	110	41	8.25
187	881	3	7.15
2724	7	8	14.29
113	7303	3	11.06
538	537	3	11.33
916	1617	3	21.82
121	2525	5	10.41
110	2823	5	6.92
2942	1420	5	54.83
141	5702	3	13.87
444	370	5	19.14
2299	111	7	11.23
129	529	10	10.51
122	5384	3	8.86
817	149	5	9.91
110	2671	6	11.3
3423	108	6	17.09
7	1139	15	9.58
3535	133	3	8.25
1981	1815	3	29.18
3106	110	5	8.68
188	177	13	22.17
147	413	7	6.79
8	441	11	7.5
187	626	8	29.57
776	21	4	15.81
316	227	6	11.42
244	240	6	9.53
147	547	17	55.21
105	6887	3	7.44
